Time,base_load1,base_load2,base_load3,base_load4,base_load5,base_load6,base_load7,base_load8,base_load9,base_load10,base_load11,base_load12,base_load13,base_load14,base_load15
0,191.699996948242,29,319.552185058593,37,42,316.700012207031,80.5522003173828,410.375885009765,218.252197265625,625.523681640625,338.700012207031,148,62.8237380981445,376.700012207031,45
600,191.699996948242,29,288,37,42,268.299987792968,80.5522003173828,485.7294921875,218.252197265625,714.243713378906,214.699996948242,38,62.8237380981445,165,45
1200,191.699996948242,29,443,37,42,195.699996948242,80.5522003173828,517,186.699996948242,515.523681640625,183.699996948242,114,62.8237380981445,51,45
1800,191.699996948242,29,443,37,64,195.699996948242,80.5522003173828,319,186.699996948242,513.158996582031,183.699996948242,228,62.8237380981445,51,235
2400,191.699996948242,153,215.399993896484,37,342,195.699996948242,49,167,341.700012207031,503.700012207031,297.700012207031,383,62.8237380981445,51,235
3000,191.699996948242,184,319,37,276,195.699996948242,201,167,531.700012207031,463.700012207031,373.700012207031,193,119.364700317382,51,45
3600,191.699996948242,95,236,151,232,195.699996948242,239,156,376.700012207031,279.5,335.700012207031,38,161,206,45
4200,191.699996948242,139,198,227,42,305.700012207031,87,324,186.699996948242,182.699996948242,245.699996948242,38,73,358,45
4800,381.700012207031,51,46,151,42,283.700012207031,49,122,186.699996948242,292.700012207031,338.700012207031,180,51,241,45
5400,381.700012207031,29,46,37,42,195.699996948242,49,198,186.699996948242,292.700012207031,307.700012207031,148,51,127,45
6000,191.699996948242,29,46,37,42,195.699996948242,49,236,186.699996948242,182.699996948242,183.699996948242,38,51,51,45
6600,191.699996948242,29,201,37,42,195.699996948242,49,160,186.699996948242,182.699996948242,183.699996948242,38,51,51,45
7200,191.699996948242,29,201,37,228,195.699996948242,49,46,186.699996948242,182.699996948242,221.699996948242,190,51,51,45
7800,191.699996948242,29,46,37,532,195.699996948242,239,46,341.700012207031,182.699996948242,373.700012207031,383,51,51,235
8400,191.699996948242,250,236,37,232,195.699996948242,239,46,531.700012207031,182.699996948242,373.700012207031,307,139,51,235
9000,191.699996948242,294,236,227,42,305.700012207031,49,270,469.700012207031,182.699996948242,183.699996948242,38,161,241,45
9600,191.699996948242,51,84,227,42,305.700012207031,49,302,186.699996948242,182.699996948242,338.700012207031,38,51,396,45
10200,1131.30004882812,29,46,75,42,195.699996948242,49,236,186.699996948242,292.700012207031,338.700012207031,148,51,244,45
10800,381.700012207031,29,46,37,42,195.699996948242,49,236,186.699996948242,292.700012207031,183.699996948242,148,51,51,45
11400,381.700012207031,29,46,37,42,195.699996948242,49,122,186.699996948242,182.699996948242,183.699996948242,38,51,51,45
12000,191.699996948242,29,201,37,108,195.699996948242,125,46,186.699996948242,182.699996948242,183.699996948242,38,51,51,45
12600,191.699996948242,29,201,37,532,195.699996948242,239,46,186.699996948242,182.699996948242,373.700012207031,38,51,51,45
13200,137.419998168945,95,77,37,346,60,163,46,248.699996948242,182.699996948242,373.700012207031,383,51,51,83
13800,56,139,236,37,118,170,49,68,531.700012207031,182.699996948242,183.699996948242,383,161,241,235
14400,56,206,236,227,42,170,49,346,450.279998779296,182.699996948242,338.700012207031,107,161,241,235
15000,56,184,46,227,42,60,49,470,51,182.699996948242,338.700012207031,82,51,51,45
15600,56,29,46,37,42,60,49,236,51,292.700012207031,183.699996948242,148,51,206,45
16200,246,29,46,37,42,60,49,84,51,270.700012207031,183.699996948242,104,51,206,45
16800,246,29,46,37,42,132,239,46,51,182.699996948242,183.699996948242,38,51,51,45
17400,94,29,170,37,304,188,239,46,51,182.699996948242,373.700012207031,38,51,51,45
18000,56,95,201,37,510,60,49,46,51,182.699996948242,346.559997558593,38,51,51,45
18600,56,139,222,37,194,170,49,46,51,182.699996948242,48,193,51,241,45
19200,56,51,236,37,42,170,49,90,396,182.699996948242,141,383,161,241,121
19800,56,29,236,227,42,60,49,536,396,182.699996948242,203,290,161,51,235
20400,56,184,46,227,42,60,49,372,51,69,141,126,51,51,235
21000,56,153,46,37,42,60,49,46,51,157,48,148,51,51,45
21600,56,29,46,37,42,60,239,46,51,113,48,60,51,206,45
22200,246,29,46,37,228,60,239,46,51,47,238,38,51,206,45
22800,246,95,139,37,380,124,49,46,51,47,358,38,51,51,45
23400,56,139,201,37,422,228,49,46,51,47,284,38,51,241,45
24000,56,51,329,37,42,274,49,46,51,47,248,193,51,241,45
24600,56,29,244,115,42,156,49,378,396,47,403,193,201,51,45
25200,56,29,202,267,42,60,49,536,396,47,363,321,201,51,159
25800,56,29,166,267,42,60,201,46,113,91,48,338,131,51,235
26400,56,184,166,117,42,60,239,46,51,157,48,148,184,131,197
27000,56,122,238,101,64,100,87,46,51,91,162,38,160,139,45
27600,208,95,444.720001220703,37,342,140,49,46,51,47,238,46,64,350,45
28200,326,139,308,37,428,206,49,46,51,47,200,118,64,596,45
28800,234,51,401,37,194,2209.19995117187,49,46,51,47,48,174,64,441,45
