time,TsetD1,TsetN1,TsetD2,TsetN2,TsetD3,TsetN3,TsetD4,TsetN4,TsetD5,TsetN5,TsetD6,TsetN6,TsetD7,TsetN7,TsetD8,TsetN8,TsetD9,TsetN9,TsetD10,TsetN10,Coef_D,Coef_N
0,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
900,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
1800,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
2700,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
3600,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
4500,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
5400,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
6300,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
7200,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
8100,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
9000,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
9900,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
10800,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
11700,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
12600,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
13500,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
14400,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
15300,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
16200,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
17100,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
18000,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
18900,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
19800,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
20700,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,0.001,1
21600,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,1,0.001
22500,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,1,0.001
23400,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,1,0.001
24300,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,20,15,1,0.001
