param;SFH_D_1_2zone_TAB;SFH_D_1_2zone_REF1;SFH_D_1_2zone_REF2;SFH_D_2_2zone_TAB;SFH_D_2_2zone_REF1;SFH_D_2_2zone_REF2;SFH_D_3_2zone_TAB;SFH_D_3_2zone_REF1;SFH_D_3_2zone_REF2;SFH_D_4_2zone_TAB;SFH_D_4_2zone_REF1;SFH_D_4_2zone_REF2;SFH_D_5_2zone_TAB;SFH_D_5_ins_TAB;SFH_SD_1_2zone_TAB;SFH_SD_1_2zone_REF1;SFH_SD_1_2zone_REF2;SFH_SD_2_2zone_TAB;SFH_SD_2_2zone_REF1;SFH_SD_2_2zone_REF2;SFH_SD_3_2zone_TAB;SFH_SD_3_2zone_REF1;SFH_SD_3_2zone_REF2;SFH_SD_4_2zone_TAB;SFH_SD_4_2zone_REF1;SFH_SD_4_2zone_REF2;SFH_SD_5_TAB;SFH_SD_5_Ins_TAB;SFH_T_1_2zone_TAB;SFH_T_1_2zone_REF1;SFH_T_1_2zone_REF2;SFH_T_2_2zone_TAB;SFH_T_2_2zone_REF1;SFH_T_2_2zone_REF2;SFH_T_3_2zone_TAB;SFH_T_3_2zone_REF1;SFH_T_3_2zone_REF2;SFH_T_4_2zone_TAB;SFH_T_4_2zone_REF1;SFH_T_4_2zone_REF2;SFH_T_5_TAB;SFH_T_5_ins_TAB
abs1ED;1.287156832;0.695360587;0.695360587;1.307184599;0.706180186;0.706180186;1.090507647;0.665634538;0.665634538;0.979619085;0.780374525;0.780374525;0.717071926;0.717071926;0.502637139;0.271539604;0.271539604;0.486799943;0.262983877;0.262983877;0.498128306;0.304052343;0.304052343;0.306509705;0.244168748;0.244168748;0.276442232;0.276442232;0.33244395;0.179596157;0.179596157;0.264189052;0.142722821;0.142722821;0.195235514;0.119169729;0.119169729;0.164279509;0.100274506;0.100274506;0.196773034;0.196773034
abs1ND;1.494762772;0.807515521;0.807515521;1.280232339;0.691619769;0.691619769;0.987196397;0.602574424;0.602574424;0.873714319;0.696009712;0.696009712;0.789475305;0.789475305;0.51640802;0.278979045;0.278979045;0.493468435;0.266586396;0.266586396;0.485675099;0.296451034;0.296451034;0.35981574;0.286632878;0.286632878;0.451747061;0.451747061;0.353484706;0.190963002;0.190963002;0.236379678;0.127699366;0.127699366;0.176641655;0.107820231;0.107820231;0.156697378;0.095646452;0.095646452;0.235670029;0.235670029
abs1SD;1.688528317;0.912193459;0.912193459;1.711468496;0.924586429;0.924586429;1.366004316;0.833794842;0.833794842;1.147301631;0.913952147;0.913952147;0.982318921;0.982318921;0.52329346;0.282698766;0.282698766;0.560153359;0.302611584;0.302611584;0.566620948;0.34585954;0.34585954;0.399795267;0.318480975;0.318480975;0.468603295;0.468603295;0.340860252;0.184142895;0.184142895;0.271141395;0.146478685;0.146478685;0.182839608;0.111603397;0.111603397;0.154170001;0.094103767;0.094103767;0.217365561;0.217365561
abs1WD;1.231795248;0.665452605;0.665452605;1.307184599;0.706180186;0.706180186;1.170860843;0.714681293;0.714681293;1.006095276;0.801465729;0.801465729;0.577834659;0.577834659;0.509522579;0.275259325;0.275259325;0.500136927;0.270188915;0.270188915;0.460768683;0.281248417;0.281248417;0.448659133;0.357406428;0.357406428;0.357352153;0.357352153;0.29877874;0.161409204;0.161409204;0.264189052;0.142722821;0.142722821;0.201433466;0.122952895;0.122952895;0.199662788;0.121872091;0.121872091;0.1876208;0.1876208
abs2ED;2.574313664;1.390721175;1.390721175;2.614369198;1.412360371;1.412360371;2.181015295;1.331269076;1.331269076;1.95923817;1.56074905;1.56074905;1.434143853;1.434143853;1.294401633;0.699274446;0.699274446;1.224326066;0.66141753;0.66141753;1.229270827;0.750334141;0.750334141;0.756398368;0.602554632;0.602554632;0.682198474;0.682198474;1.678233591;0.90663194;0.90663194;1.788603532;0.96625708;0.96625708;1.356391517;0.82792729;0.82792729;1.125955245;0.687271383;0.687271383;1.277307712;1.277307712
abs2ND;2.989525545;1.615031041;1.615031041;2.560464679;1.383239539;1.383239539;1.974392793;1.205148848;1.205148848;1.747428638;1.392019423;1.392019423;1.578950611;1.578950611;1.329864692;0.71843265;0.71843265;1.241097655;0.670478044;0.670478044;1.198539056;0.731575787;0.731575787;0.88794591;0.707346742;0.707346742;1.114812141;1.114812141;1.784450907;0.964013709;0.964013709;1.600329476;0.864545809;0.864545809;1.227211373;0.749077072;0.749077072;1.07398808;0.655551166;0.655551166;1.529798771;1.529798771
abs2SD;3.377056634;1.824386917;1.824386917;3.422936991;1.849172857;1.849172857;2.732008633;1.667589685;1.667589685;2.294603262;1.827904293;1.827904293;1.964637841;1.964637841;1.347596221;0.728011752;0.728011752;1.408813555;0.761083185;0.761083185;1.398295565;0.853505085;0.853505085;0.986606567;0.785940824;0.785940824;1.156409609;1.156409609;1.720720518;0.929584648;0.929584648;1.835672046;0.991684898;0.991684898;1.270271421;0.775360478;0.775360478;1.056665692;0.64497776;0.64497776;1.410979449;1.410979449
abs2WD;2.463590495;1.33090521;1.33090521;2.614369198;1.412360371;1.412360371;2.341721685;1.429362587;1.429362587;2.012190553;1.602931457;1.602931457;1.155669318;1.155669318;1.312133163;0.708853548;0.708853548;1.257869245;0.679538558;0.679538558;1.137075515;0.69405908;0.69405908;1.107191814;0.882000259;0.882000259;0.88186632;0.88186632;1.508285886;0.814821111;0.814821111;1.788603532;0.96625708;0.96625708;1.399451566;0.854210696;0.854210696;1.368468683;0.835299066;0.835299066;1.217898051;1.217898051
abs3ED;0.168841927;0.091213455;0.091213455;0.218273175;0.117917692;0.117917692;0.195206027;0.119151731;0.119151731;0.180205977;0.143553914;0.143553914;0.127008591;0.127008591;0.093401875;0.050458484;0.050458484;0.107354682;0.057996207;0.057996207;0.108436356;0.066188425;0.066188425;0.07905932;0.062979458;0.062979458;0.106112107;0.106112107;0.134350606;0.072580212;0.072580212;0.113927947;0.061547282;0.061547282;0.078276433;0.047779122;0.047779122;0.078964338;0.048199011;0.048199011;0.140646582;0.140646582
abs3ND;0.196074496;0.105925303;0.105925303;0.213772697;0.115486399;0.115486399;0.176712824;0.107863672;0.107863672;0.16072425;0.128034572;0.128034572;0.139832759;0.139832759;0.09596083;0.051840908;0.051840908;0.108825294;0.058790676;0.058790676;0.105725448;0.064533715;0.064533715;0.092808767;0.073932408;0.073932408;0.173402712;0.173402712;0.142853808;0.077173897;0.077173897;0.101935531;0.05506862;0.05506862;0.070821535;0.043228729;0.043228729;0.07531983;0.045974442;0.045974442;0.168448814;0.168448814
