Date and time (UTC),TGBT,T1,Pmax,WS_ms_2,Taux de Co2
2018-03-01 00:00:00+00:00,44.73,9.63,,1.57,66
2018-03-01 00:30:00+00:00,44.63,9.07,,1.6,69
2018-03-01 01:00:00+00:00,40.41,9.58,,1.88,69
2018-03-01 01:30:00+00:00,37.51,7.72,,1.6,70
2018-03-01 02:00:00+00:00,45.74,11.48,,1.4,68
2018-03-01 02:30:00+00:00,49.61,7.3,,1.36,71
2018-03-01 03:00:00+00:00,47.74,4.65,,1.36,70
2018-03-01 03:30:00+00:00,44.27,9.28,,1.35,69
2018-03-01 04:00:00+00:00,46.3,9.94,,1.33,70
2018-03-01 04:30:00+00:00,48.06,7.98,,1.33,74
2018-03-01 05:00:00+00:00,85.03,13.92,,1.35,78
2018-03-01 05:30:00+00:00,93.05,14.14,,1.3,78
2018-03-01 06:00:00+00:00,103.05,13.38,0.05,1.45,81
2018-03-01 06:30:00+00:00,97.61,14.52,0.77,1.46,81
2018-03-01 07:00:00+00:00,93.74,12.02,2.77,1.41,79
2018-03-01 07:30:00+00:00,96.7,12.15,3.43,1.13,75
2018-03-01 08:00:00+00:00,101.23,16.52,8.93,1.2,71
2018-03-01 08:30:00+00:00,113.56,20.15,13.44,1.3,70
2018-03-01 09:00:00+00:00,99.58,17.16,18.25,1.46,68
2018-03-01 09:30:00+00:00,109.1,18.58,30.46,1.5,71
2018-03-01 10:00:00+00:00,106.91,19.8,36.4,1.56,76
2018-03-01 10:30:00+00:00,107.53,17.05,53.23,1.56,77
2018-03-01 11:00:00+00:00,95.78,15.3,57.91,1.48,83
2018-03-01 11:30:00+00:00,102.11,19.9,65.1,1.32,83
2018-03-01 12:00:00+00:00,94.84,18.06,80.61,1.64,84
2018-03-01 12:30:00+00:00,95.26,15.78,106.11,1.56,85
2018-03-01 13:00:00+00:00,91.73,13.32,120.62,1.64,84
2018-03-01 13:30:00+00:00,88.92,11,75.95,1.45,84
2018-03-01 14:00:00+00:00,86.22,9.15,48.98,1.43,83
2018-03-01 14:30:00+00:00,83.5,13.16,44.45,1.44,84
2018-03-01 15:00:00+00:00,81.76,11.6,29.35,1.54,85
2018-03-01 15:30:00+00:00,81.87,10.49,21.37,1.33,85
2018-03-01 16:00:00+00:00,78.53,11.71,8.55,1.64,84
2018-03-01 16:30:00+00:00,75.76,12.41,3.87,1.37,83
2018-03-01 17:00:00+00:00,51.24,7.48,,1.44,82
2018-03-01 17:30:00+00:00,40,4.46,,1.45,82
2018-03-01 18:00:00+00:00,36.33,4.1,,1.58,79
2018-03-01 18:30:00+00:00,37.06,4.07,,1.44,77
2018-03-01 19:00:00+00:00,34.81,4.06,,1.51,76
2018-03-01 19:30:00+00:00,30.63,3.96,,1.66,74
2018-03-01 20:00:00+00:00,30.93,3.7,,1.61,63
2018-03-01 20:30:00+00:00,30.47,3.73,,1.74,58
2018-03-01 21:00:00+00:00,37.43,3.8,,1.56,59
2018-03-01 21:30:00+00:00,39.57,3.71,,1.69,57
2018-03-01 22:00:00+00:00,34.54,3.81,,1.76,58
2018-03-01 22:30:00+00:00,34.52,3.86,,1.64,56
2018-03-01 23:00:00+00:00,34.44,3.98,,1.42,56
2018-03-01 23:30:00+00:00,38.16,4.17,,1.4,55
2018-03-02 00:00:00+00:00,41.37,4.24,,1.44,53
2018-03-02 00:30:00+00:00,37.34,4.26,,1.48,52
2018-03-02 01:00:00+00:00,36.1,4.31,,1.52,53
2018-03-02 01:30:00+00:00,35.74,4.38,,1.45,53
2018-03-02 02:00:00+00:00,40.75,4.45,,1.42,51
2018-03-02 02:30:00+00:00,45.13,9.17,,1.42,52
2018-03-02 03:00:00+00:00,38.2,6.23,,1.52,52
2018-03-02 03:30:00+00:00,36.41,4.47,,1.42,52
