Date and time (UTC),T1,Pmax,hc_hp,tarifs_bleu,tarifs_blanc,tarifs_rouge
2018-03-01 00:00:00+00:00,9.63,,HC,0.1104,0.1255,0.1323
2018-03-01 00:30:00+00:00,9.07,,HC,0.1104,0.1255,0.1323
2018-03-01 01:00:00+00:00,9.58,,HC,0.1104,0.1255,0.1323
2018-03-01 01:30:00+00:00,7.72,,HC,0.1104,0.1255,0.1323
2018-03-01 02:00:00+00:00,11.48,,HC,0.1104,0.1255,0.1323
2018-03-01 02:30:00+00:00,7.3,,HC,0.1104,0.1255,0.1323
2018-03-01 03:00:00+00:00,4.65,,HC,0.1104,0.1255,0.1323
2018-03-01 03:30:00+00:00,9.28,,HC,0.1104,0.1255,0.1323
2018-03-01 04:00:00+00:00,9.94,,HC,0.1104,0.1255,0.1323
2018-03-01 04:30:00+00:00,7.98,,HC,0.1104,0.1255,0.1323
2018-03-01 05:00:00+00:00,13.92,,HC,0.1104,0.1255,0.1323
2018-03-01 05:30:00+00:00,14.14,,HC,0.1104,0.1255,0.1323
2018-03-01 06:00:00+00:00,13.38,0.05,HP,0.1329,0.1558,0.5413
2018-03-01 06:30:00+00:00,14.52,0.77,HP,0.1329,0.1558,0.5413
2018-03-01 07:00:00+00:00,12.02,2.77,HP,0.1329,0.1558,0.5413
2018-03-01 07:30:00+00:00,12.15,3.43,HP,0.1329,0.1558,0.5413
2018-03-01 08:00:00+00:00,16.52,8.93,HP,0.1329,0.1558,0.5413
2018-03-01 08:30:00+00:00,20.15,13.44,HP,0.1329,0.1558,0.5413
2018-03-01 09:00:00+00:00,17.16,18.25,HP,0.1329,0.1558,0.5413
2018-03-01 09:30:00+00:00,18.58,30.46,HP,0.1329,0.1558,0.5413
2018-03-01 10:00:00+00:00,19.8,36.4,HP,0.1329,0.1558,0.5413
2018-03-01 10:30:00+00:00,17.05,53.23,HP,0.1329,0.1558,0.5413
2018-03-01 11:00:00+00:00,15.3,57.91,HP,0.1329,0.1558,0.5413
2018-03-01 11:30:00+00:00,19.9,65.1,HP,0.1329,0.1558,0.5413
2018-03-01 12:00:00+00:00,18.06,80.61,HP,0.1329,0.1558,0.5413
2018-03-01 12:30:00+00:00,15.78,106.11,HP,0.1329,0.1558,0.5413
2018-03-01 13:00:00+00:00,13.32,120.62,HP,0.1329,0.1558,0.5413
2018-03-01 13:30:00+00:00,11.0,75.95,HP,0.1329,0.1558,0.5413
2018-03-01 14:00:00+00:00,9.15,48.98,HP,0.1329,0.1558,0.5413
2018-03-01 14:30:00+00:00,13.16,44.45,HP,0.1329,0.1558,0.5413
2018-03-01 15:00:00+00:00,11.6,29.35,HP,0.1329,0.1558,0.5413
2018-03-01 15:30:00+00:00,10.49,21.37,HP,0.1329,0.1558,0.5413
2018-03-01 16:00:00+00:00,11.71,8.55,HP,0.1329,0.1558,0.5413
2018-03-01 16:30:00+00:00,12.41,3.87,HP,0.1329,0.1558,0.5413
2018-03-01 17:00:00+00:00,7.48,,HP,0.1329,0.1558,0.5413
2018-03-01 17:30:00+00:00,4.46,,HP,0.1329,0.1558,0.5413
2018-03-01 18:00:00+00:00,4.1,,HP,0.1329,0.1558,0.5413
2018-03-01 18:30:00+00:00,4.07,,HP,0.1329,0.1558,0.5413
2018-03-01 19:00:00+00:00,4.06,,HP,0.1329,0.1558,0.5413
2018-03-01 19:30:00+00:00,3.96,,HP,0.1329,0.1558,0.5413
2018-03-01 20:00:00+00:00,3.7,,HP,0.1329,0.1558,0.5413
2018-03-01 20:30:00+00:00,3.73,,HP,0.1329,0.1558,0.5413
2018-03-01 21:00:00+00:00,3.8,,HP,0.1329,0.1558,0.5413
2018-03-01 21:30:00+00:00,3.71,,HP,0.1329,0.1558,0.5413
2018-03-01 22:00:00+00:00,3.81,,HP,0.1329,0.1558,0.5413
2018-03-01 22:30:00+00:00,3.86,,HC,0.1104,0.1255,0.1323
2018-03-01 23:00:00+00:00,3.98,,HC,0.1104,0.1255,0.1323
2018-03-01 23:30:00+00:00,4.17,,HC,0.1104,0.1255,0.1323
2018-03-02 00:00:00+00:00,4.24,,HC,0.1104,0.1255,0.1323
2018-03-02 00:30:00+00:00,4.26,,HC,0.1104,0.1255,0.1323
2018-03-02 01:00:00+00:00,4.31,,HC,0.1104,0.1255,0.1323
2018-03-02 01:30:00+00:00,4.38,,HC,0.1104,0.1255,0.1323
2018-03-02 02:00:00+00:00,4.45,,HC,0.1104,0.1255,0.1323
2018-03-02 02:30:00+00:00,9.17,,HC,0.1104,0.1255,0.1323
2018-03-02 03:00:00+00:00,6.23,,HC,0.1104,0.1255,0.1323
2018-03-02 03:30:00+00:00,4.47,,HC,0.1104,0.1255,0.1323
2018-03-02 04:00:00+00:00,4.56,,HC,0.1104,0.1255,0.1323
2018-03-02 04:30:00+00:00,4.57,,HC,0.1104,0.1255,0.1323
2018-03-02 05:00:00+00:00,13.22,,HC,0.1104,0.1255,0.1323
2018-03-02 05:30:00+00:00,15.38,,HC,0.1104,0.1255,0.1323
2018-03-02 06:00:00+00:00,13.49,0.02,HP,0.1329,0.1558,0.5413
2018-03-02 06:30:00+00:00,15.14,0.43,HP,0.1329,0.1558,0.5413
2018-03-02 07:00:00+00:00,14.94,2.01,HP,0.1329,0.1558,0.5413
2018-03-02 07:30:00+00:00,12.71,7.47,HP,0.1329,0.1558,0.5413
2018-03-02 08:00:00+00:00,15.77,9.15,HP,0.1329,0.1558,0.5413
2018-03-02 08:30:00+00:00,17.7,12.63,HP,0.1329,0.1558,0.5413
2018-03-02 09:00:00+00:00,21.33,11.48,HP,0.1329,0.1558,0.5413
2018-03-02 09:30:00+00:00,15.84,11.4,HP,0.1329,0.1558,0.5413
2018-03-02 10:00:00+00:00,15.64,25.22,HP,0.1329,0.1558,0.5413
2018-03-02 10:30:00+00:00,15.49,26.06,HP,0.1329,0.1558,0.5413
2018-03-02 11:00:00+00:00,12.18,33.78,HP,0.1329,0.1558,0.5413
2018-03-02 11:30:00+00:00,11.04,28.93,HP,0.1329,0.1558,0.5413
2018-03-02 12:00:00+00:00,12.84,57.87,HP,0.1329,0.1558,0.5413
2018-03-02 12:30:00+00:00,9.64,45.63,HP,0.1329,0.1558,0.5413
2018-03-02 13:00:00+00:00,9.56,54.06,HP,0.1329,0.1558,0.5413
2018-03-02 13:30:00+00:00,9.05,47.62,HP,0.1329,0.1558,0.5413
2018-03-02 14:00:00+00:00,9.75,95.56,HP,0.1329,0.1558,0.5413
2018-03-02 14:30:00+00:00,10.64,57.73,HP,0.1329,0.1558,0.5413
2018-03-02 15:00:00+00:00,7.7,92.16,HP,0.1329,0.1558,0.5413
2018-03-02 15:30:00+00:00,6.05,36.07,HP,0.1329,0.1558,0.5413
2018-03-02 16:00:00+00:00,9.42,38.69,HP,0.1329,0.1558,0.5413
2018-03-02 16:30:00+00:00,9.16,17.84,HP,0.1329,0.1558,0.5413
2018-03-02 17:00:00+00:00,5.43,,HP,0.1329,0.1558,0.5413
2018-03-02 17:30:00+00:00,3.6,,HP,0.1329,0.1558,0.5413
2018-03-02 18:00:00+00:00,7.72,,HP,0.1329,0.1558,0.5413
2018-03-02 18:30:00+00:00,7.92,,HP,0.1329,0.1558,0.5413
2018-03-02 19:00:00+00:00,3.63,,HP,0.1329,0.1558,0.5413
2018-03-02 19:30:00+00:00,3.55,,HP,0.1329,0.1558,0.5413
2018-03-02 20:00:00+00:00,3.59,,HP,0.1329,0.1558,0.5413
2018-03-02 20:30:00+00:00,6.04,,HP,0.1329,0.1558,0.5413
2018-03-02 21:00:00+00:00,8.79,,HP,0.1329,0.1558,0.5413
2018-03-02 21:30:00+00:00,7.37,,HP,0.1329,0.1558,0.5413
